,crt2_total,bcrt6_total,bcrt_core3_total,bcrt_core4_total,combined7_total,combined8_total,combined10_total,NFC_total,bcrt_selected_total,combined_selected_total
crt2_total,1.0,0.5388119196507426,0.4611719506622652,0.4849485234331995,0.8640582538783341,0.8520197964559554,0.8390010572989193,0.2434031477917108,0.4849485234331995,0.8520197964559554
bcrt6_total,0.5388119196507426,1.0,0.8642775642946495,0.904705867590096,0.8149182115283566,0.8442296543143643,0.9104528991641869,-0.09398135156993803,0.904705867590096,0.8442296543143643
bcrt_core3_total,0.4611719506622652,0.8642775642946495,1.0,0.9564815924518684,0.8451444305113428,0.831610783236635,0.7846691613626123,-0.10494621138101005,0.9564815924518684,0.831610783236635
bcrt_core4_total,0.4849485234331995,0.904705867590096,0.9564815924518684,1.0,0.8347790333263787,0.871017210834266,0.8224559043028271,-0.06459888114086898,1.0,0.871017210834266
combined7_total,0.8640582538783341,0.8149182115283566,0.8451444305113428,0.8347790333263787,1.0,0.9850697852221352,0.950595911596138,0.08709369003356657,0.8347790333263787,0.9850697852221352
combined8_total,0.8520197964559554,0.8442296543143643,0.831610783236635,0.871017210834266,0.9850697852221352,1.0,0.9636177892872253,0.09805613008452149,0.871017210834266,1.0
combined10_total,0.8390010572989193,0.9104528991641869,0.7846691613626123,0.8224559043028271,0.950595911596138,0.9636177892872253,1.0,0.05880230498548737,0.8224559043028273,0.9636177892872254
NFC_total,0.2434031477917108,-0.09398135156993803,-0.10494621138101005,-0.06459888114086898,0.08709369003356657,0.09805613008452149,0.05880230498548737,1.0,-0.06459888114086898,0.0980561300845215
bcrt_selected_total,0.4849485234331995,0.904705867590096,0.9564815924518684,1.0,0.8347790333263787,0.871017210834266,0.8224559043028273,-0.06459888114086898,1.0,0.871017210834266
combined_selected_total,0.8520197964559554,0.8442296543143643,0.831610783236635,0.871017210834266,0.9850697852221352,1.0,0.9636177892872254,0.0980561300845215,0.871017210834266,1.0
