var_x,var_y,n,r,p,lo,hi
crt2_total,bcrt6_total,52,0.5388119196507423,3.7751307250477595e-05,0.3117476143963973,0.7076595484274645
crt2_total,bcrt_core3_total,52,0.46117195066226524,0.000579898298775916,0.2153728749003921,0.6520167068071536
crt2_total,bcrt_core4_total,52,0.4849485234331998,0.0002689644942119873,0.24438679233855556,0.6692780559915257
crt2_total,combined7_total,52,0.8640582538783346,2.220446049250313e-16,0.7735641554382472,0.9200177358326715
crt2_total,combined8_total,52,0.8520197964559556,1.1102230246251565e-15,0.7545670463252517,0.9127027490000954
crt2_total,combined10_total,52,0.8390010572989195,8.215650382226158e-15,0.7342052218287606,0.9047480922995986
crt2_total,NFC_total,52,0.24340314779171085,0.08207098897530951,-0.03160106362232563,0.4841482201514462
crt2_total,bcrt_selected_total,52,0.4849485234331998,0.0002689644942119873,0.24438679233855556,0.6692780559915257
crt2_total,combined_selected_total,52,0.8520197964559556,1.1102230246251565e-15,0.7545670463252517,0.9127027490000954
bcrt6_total,bcrt_core3_total,52,0.8642775642946494,2.220446049250313e-16,0.7739117500447185,0.9201506357885736
bcrt6_total,bcrt_core4_total,52,0.9047058675900963,0.0,0.8389321518132234,0.9444318352145145
bcrt6_total,combined7_total,52,0.8149182115283554,1.9517720772910252e-13,0.6970291525037838,0.8899112047816409
bcrt6_total,combined8_total,52,0.8442296543143645,3.774758283725532e-15,0.7423603646897676,0.9079483683843605
bcrt6_total,combined10_total,52,0.9104528991641867,0.0,0.8483300224430596,0.9478486571923039
bcrt6_total,NFC_total,52,-0.09398135156993805,0.5075202314304481,-0.35771184296226716,0.1836335604059449
bcrt6_total,bcrt_selected_total,52,0.9047058675900963,0.0,0.8389321518132234,0.9444318352145145
bcrt6_total,combined_selected_total,52,0.8442296543143645,3.774758283725532e-15,0.7423603646897676,0.9079483683843605
bcrt_core3_total,bcrt_core4_total,52,0.9564815924518681,0.0,0.9250379534090757,0.9749077769757454
bcrt_core3_total,combined7_total,52,0.845144430511343,3.3306690738754696e-15,0.7437902678644954,0.9085075141882832
bcrt_core3_total,combined8_total,52,0.8316107832366346,2.2648549702353193e-14,0.7227298188888449,0.9002120189182704
bcrt_core3_total,combined10_total,52,0.7846691613626123,5.849543072145025e-12,0.6512154983031605,0.8710478751288888
bcrt_core3_total,NFC_total,52,-0.10494621138101008,0.4590393500145893,-0.36733080748291147,0.17291110447170843
bcrt_core3_total,bcrt_selected_total,52,0.9564815924518681,0.0,0.9250379534090757,0.9749077769757454
bcrt_core3_total,combined_selected_total,52,0.8316107832366346,2.2648549702353193e-14,0.7227298188888449,0.9002120189182704
bcrt_core4_total,combined7_total,52,0.8347790333263786,1.4654943925052066e-14,0.7276420449079061,0.9021584827788258
bcrt_core4_total,combined8_total,52,0.8710172108342666,0.0,0.7846203210135271,0.9242285285887502
bcrt_core4_total,combined10_total,52,0.8224559043028279,7.593925488436071e-14,0.7085971513180651,0.8945721283218636
bcrt_core4_total,NFC_total,52,-0.06459888114086901,0.6491228756028236,-0.3316570590640062,0.2120444072200108
bcrt_core4_total,bcrt_selected_total,52,0.999999,0.0,0.9999982493281567,0.9999994287908137
bcrt_core4_total,combined_selected_total,52,0.8710172108342666,0.0,0.7846203210135271,0.9242285285887502
combined7_total,combined8_total,52,0.9850697852221345,0.0,0.9740077403108733,0.9914443395780322
combined7_total,combined10_total,52,0.9505959115961378,0.0,0.9150842265530476,0.9714778297239224
combined7_total,NFC_total,52,0.08709369003356655,0.5392531017309987,-0.19033533998861563,0.3516408614196936
combined7_total,bcrt_selected_total,52,0.8347790333263787,1.4654943925052066e-14,0.7276420449079062,0.9021584827788258
combined7_total,combined_selected_total,52,0.9850697852221345,0.0,0.9740077403108733,0.9914443395780322
combined8_total,combined10_total,52,0.9636177892872253,0.0,0.9371647153642934,0.979054774929371
combined8_total,NFC_total,52,0.0980561300845214,0.489205220095426,-0.179656562993265,0.3612930040495431
combined8_total,bcrt_selected_total,52,0.8710172108342666,0.0,0.7846203210135271,0.9242285285887502
combined8_total,combined_selected_total,52,0.999999,0.0,0.9999982493281567,0.9999994287908137
combined10_total,NFC_total,52,0.0588023049854873,0.6788152671386833,-0.21759461377933983,0.32646840093303514
combined10_total,bcrt_selected_total,52,0.8224559043028279,7.593925488436071e-14,0.7085971513180651,0.8945721283218636
combined10_total,combined_selected_total,52,0.9636177892872253,0.0,0.9371647153642934,0.979054774929371
NFC_total,bcrt_selected_total,52,-0.06459888114086901,0.6491228756028236,-0.3316570590640062,0.2120444072200108
NFC_total,combined_selected_total,52,0.0980561300845214,0.489205220095426,-0.179656562993265,0.3612930040495431
bcrt_selected_total,combined_selected_total,52,0.8710172108342666,0.0,0.7846203210135271,0.9242285285887502
