outcome,predictor,beta,se,ci_lo,ci_hi,beta_std,p_raw,n,r2,dataset,family,set,p_adj,sig_raw,sig_adj
emo_neg_Q1,crt2_total,-0.004132357700190308,0.0684632885762197,-0.1383204033095809,0.1300556879092003,-0.003852643540195155,0.9518699209866291,237,1.486660138971807e-05,full,MoslehTargets,crt2_only,0.9518699209866291,False,False
emo_neg_Q2,crt2_total,-0.12018155958631069,0.06714627873499453,-0.25178826590689996,0.01142514673427858,-0.12776050405917277,0.07347852537314287,240,0.016322746397454124,full,MoslehTargets,crt2_only,0.5878282029851429,False,False
emo_pos_Q1,crt2_total,0.014506670022653004,0.04416451429096289,-0.07205577798763425,0.10106911803294026,0.020977286858127574,0.7425571450413806,237,0.0004407503586397743,full,MoslehTargets,crt2_only,0.8486367371901492,False,False
emo_pos_Q2,crt2_total,-0.011430879176836179,0.031462746095300705,-0.07309786152362556,0.050236103169953195,-0.020932153015940688,0.7163697893432608,240,0.0004381550298825365,full,MoslehTargets,crt2_only,0.8486367371901492,False,False
insight_Q1,crt2_total,-0.20565315882204802,0.15998834724226615,-0.5192303194168897,0.10792400177279363,-0.09555806805410817,0.19864350936486397,237,0.009145948715332253,full,MoslehTargets,crt2_only,0.7945740374594559,False,False
insight_Q2,crt2_total,-0.11424733542870094,0.1519293230802683,-0.41202880866602676,0.1835341378086249,-0.05180148599823806,0.4520649741696938,240,0.0026833939516258676,full,MoslehTargets,crt2_only,0.8486367371901492,False,False
moral_Q1,crt2_total,-0.01944877926000499,0.04514260383302792,-0.1079282827727397,0.06903072425272973,-0.032881346103169055,0.6665921253495637,237,0.001082912126792901,full,MoslehTargets,crt2_only,0.8486367371901492,False,False
moral_Q2,crt2_total,-0.01687362820670394,0.0349479633621294,-0.08537163639647757,0.051624379983069686,-0.03998558299912715,0.629222481264516,240,0.00159884684778,full,MoslehTargets,crt2_only,0.8486367371901492,False,False
emo_neg_Q1,crt2_total,-0.13119015957446817,0.15901028500651926,-0.4428503181872459,0.18046999903830957,-0.14044864432153964,0.4093477605550274,51,0.020120209492912267,naive,MoslehTargets,crt2_only,0.7260105331505569,False,False
emo_neg_Q2,crt2_total,-0.15111835670035875,0.1698399565380075,-0.4840046715148535,0.18176795811413596,-0.16540820379908783,0.37358984554172436,52,0.027359873884040375,naive,MoslehTargets,crt2_only,0.7260105331505569,False,False
emo_pos_Q1,crt2_total,0.17813164893617028,0.07683782796325164,0.027529506128197073,0.3287337917441435,0.3047660465702398,0.02043407392125778,51,0.09473938431631879,naive,MoslehTargets,crt2_only,0.16347259137006223,True,False
emo_pos_Q2,crt2_total,-0.0474991848712097,0.06340266948755448,-0.17176841706681648,0.07677004732439707,-0.08944103136887699,0.45375658321909806,52,0.007999698092328256,naive,MoslehTargets,crt2_only,0.7260105331505569,False,False
insight_Q1,crt2_total,-0.13601063829787258,0.3386964173978543,-0.7998556163976669,0.5278343398019218,-0.06896805113310726,0.6879998210187199,51,0.004851692900759708,naive,MoslehTargets,crt2_only,0.8225671145303778,False,False
insight_Q2,crt2_total,-0.6593185523312689,0.37782574807248226,-1.399857018553334,0.0812199138907963,-0.29954456597033724,0.08097905404878808,52,0.08972694700235762,naive,MoslehTargets,crt2_only,0.3239162161951523,False,False
moral_Q1,crt2_total,0.020595079787234048,0.06926593424811626,-0.11516615133907382,0.1563563109135419,0.039686485257577904,0.7662119398421148,51,0.0016065071836075528,naive,MoslehTargets,crt2_only,0.8225671145303778,False,False
moral_Q2,crt2_total,0.010661884577763275,0.047545817041661005,-0.0825279168238923,0.10385168597941885,0.028282795901008583,0.8225671145303778,52,0.000799916543978263,naive,MoslehTargets,crt2_only,0.8225671145303778,False,False
