item,family,n,p,r_itemrest_crt2,r_itemrest_bcrt,r_itemrest_comb
crt2_q1,CRT2,240,0.7041666666666667,0.29688174716721843,0.1669970422933926,0.2536573812078659
crt2_q2,CRT2,240,0.7416666666666667,0.1698370533315477,0.07138792367593887,0.12711088326209843
crt2_q3,CRT2,240,0.8291666666666667,0.31897131217490476,0.09257777219951863,0.20490970380441625
crt2_q4,CRT2,240,0.17083333333333334,0.13640421872995573,0.4048550336486409,0.39282438902355293
bcrt_q1,BCRT,240,0.425,0.18245849808815495,0.2561216966569168,0.2798102803766258
bcrt_q2,BCRT,240,0.7166666666666667,0.17032889416102537,0.21411175624506465,0.2433512192838059
bcrt_q3,BCRT,240,0.38333333333333336,0.1636094056314417,0.4154528274967044,0.37712406776636215
bcrt_q4,BCRT,240,0.1625,0.21141458410368139,0.38785793764810456,0.38912116980173755
bcrt_q5,BCRT,240,0.35,0.17175341624706397,0.22337275824027097,0.25073371580468923
bcrt_q6,BCRT,240,0.4708333333333333,0.09755662220782534,0.2489407444023282,0.22686110444906807
