item,family,n,p,r_itemrest_crt2,r_itemrest_bcrt,r_itemrest_comb,pct_intuitive_errors,p_full_unseen,p_full_seen,exposure_delta_p
crt2_q1,CRT2,52,0.5384615384615384,0.11030560216876095,0.2096742471377923,0.1942458142848382,0.9166666666666666,0.5578947368421052,0.8,0.24210526315789482
crt2_q2,CRT2,52,0.5961538461538461,0.28236617160761607,0.2808112816145091,0.31797235023041476,1.0,0.743421052631579,0.7386363636363636,-0.004784688995215336
crt2_q3,CRT2,52,0.7692307692307693,0.3853373177942263,0.3357984706804494,0.40198444832648883,0.9166666666666666,0.725,0.88125,0.15625
crt2_q4,CRT2,52,0.11538461538461539,0.22763575018226012,0.5948568928554345,0.5288163929546185,0.8043478260869565,0.14606741573033707,0.24193548387096775,0.09586806814063067
bcrt_q1,BCRT,52,0.40384615384615385,0.2059423227616777,0.04378516494255,0.1347051078160489,0.25806451612903225,0.41935483870967744,0.4444444444444444,0.025089605734766984
bcrt_q2,BCRT,52,0.6153846153846154,0.38543121570661937,0.1440138551220387,0.2989075796047841,0.25,0.6558441558441559,0.8255813953488372,0.16973723950468134
bcrt_q3,BCRT,52,0.3076923076923077,0.3791948293655144,0.4338458507606382,0.46885192068133313,0.5,0.3151515151515151,0.5333333333333333,0.2181818181818182
bcrt_q4,BCRT,52,0.1346153846153846,0.25739988959542104,0.2468704923586638,0.2880848430129491,0.3333333333333333,0.12886597938144329,0.30434782608695654,0.17548184670551326
bcrt_q5,BCRT,52,0.2692307692307692,0.23329399487281147,0.10391819039228631,0.1870042111724999,0.39473684210526316,0.31976744186046513,0.4264705882352941,0.10670314637482897
bcrt_q6,BCRT,52,0.46153846153846156,0.20060925414652364,0.3523079615466449,0.3149152005334578,0.42857142857142855,0.4397905759162304,0.5918367346938775,0.15204615877764716
