item,p_naive,r_itemrest_comb,r_itemrest_crt2,pct_intuitive_errors,exposure_delta_p,p_unseen,r_itemrest_comb_unseen,pct_intuitive_errors_unseen
crt2_q1,0.5384615384615384,0.1942458142848382,0.11030560216876095,0.9166666666666666,0.24210526315789482,0.5578947368421052,0.1854901647126044,0.8333333333333334
crt2_q2,0.5961538461538461,0.31797235023041476,0.28236617160761607,1.0,-0.004784688995215336,0.743421052631579,0.07568954303481762,0.8974358974358975
crt2_q3,0.7692307692307693,0.40198444832648883,0.3853373177942263,0.9166666666666666,0.15625,0.725,0.21824175179028027,0.7727272727272727
crt2_q4,0.11538461538461539,0.5288163929546185,0.22763575018226012,0.8043478260869565,0.09586806814063067,0.14606741573033707,0.3280126293727687,0.7302631578947368
bcrt_q1,0.40384615384615385,0.1347051078160489,0.2059423227616777,0.25806451612903225,0.025089605734766984,0.41935483870967744,0.18663398249300808,0.4351851851851852
bcrt_q2,0.6153846153846154,0.2989075796047841,0.38543121570661937,0.25,0.16973723950468134,0.6558441558441559,0.30266869819171055,0.33962264150943394
bcrt_q3,0.3076923076923077,0.46885192068133313,0.3791948293655144,0.5,0.2181818181818182,0.3151515151515151,0.36285965490381605,0.5309734513274337
bcrt_q4,0.1346153846153846,0.2880848430129491,0.25739988959542104,0.3333333333333333,0.17548184670551326,0.12886597938144329,0.3056040091988304,0.40236686390532544
bcrt_q5,0.2692307692307692,0.1870042111724999,0.23329399487281147,0.39473684210526316,0.10670314637482897,0.31976744186046513,0.22586645376994244,0.41025641025641024
bcrt_q6,0.46153846153846156,0.3149152005334578,0.20060925414652364,0.42857142857142855,0.15204615877764716,0.4397905759162304,0.15611908441785163,0.37383177570093457
