item,rule_exact_correct,rule_exact_intuitive,rule_other,rule_fuzzy_correct,rule_fuzzy_intuitive,unresolved,rule_regex_intuitive,rule_phrase_correct,rule_numeric_correct
bcrt_q1,46,50.0,86,2.0,2.0,0,0.0,0.0,54.0
bcrt_q2,167,25.0,43,0.0,0.0,0,0.0,0.0,5.0
bcrt_q3,60,82.0,66,0.0,0.0,0,0.0,0.0,32.0
bcrt_q4,21,71.0,123,2.0,7.0,0,0.0,16.0,0.0
bcrt_q5,80,56.0,95,4.0,5.0,0,0.0,0.0,0.0
bcrt_q6,98,50.0,77,0.0,0.0,0,0.0,15.0,0.0
crt2_q1,167,57.0,13,2.0,1.0,0,0.0,0.0,0.0
crt2_q2,177,55.0,7,1.0,0.0,0,0.0,0.0,0.0
crt2_q3,197,33.0,8,2.0,0.0,0,0.0,0.0,0.0
crt2_q4,33,0.0,45,0.0,0.0,0,154.0,8.0,0.0
